name,current_price,market_cap,market_cap_rank,total_volume,circulating_supply,total_supply,max_supply,ath,atl,last_updated
SideShift,0.202935,29273667,986,17636.49,144299737.7536707,209999943.9971488,,1.13,0.054188,2025-02-15T10:26:04.713Z
Wrapped Centrifuge,0.190232,29263864,987,293361.0,153822297.7312299,153822297.7312299,153822297.7312299,2.55,0.14244,2025-02-15T10:26:08.128Z
Vara Network,0.01439025,29220805,988,432293.0,2031161762.333333,10000000000.0,,0.27007,0.0128561,2025-02-15T10:26:07.559Z
Tree,0.288138,29198490,989,149703.0,101361867.09737062,121979030.64398313,200000000.0,0.348643,0.047353,2025-02-15T10:26:06.881Z
Liquity BOLD,1.004,29069299,990,9458749.0,28965740.92214387,28965740.92214387,,1.014,0.980879,2025-02-15T10:26:09.423Z
XBorg,0.1352,29052926,991,176377.0,215000074.0,1000000000.0,1000000000.0,0.41625,0.053666,2025-02-15T10:26:08.177Z
Gitcoin,0.476713,28996387,992,6307123.0,60863371.560695864,100000000.0,100000000.0,22.37,0.34935,2025-02-15T10:26:06.728Z
Flayer,0.04831146,28986664,993,1040068.0,600000000.0,1000000000.0,1000000000.0,0.257272,0.01877821,2025-02-15T10:26:05.926Z
Relend USDC,1.039,28906972,994,0.0,27812314.52121221,27812314.52121221,,9.28,1.01,2025-02-15T10:25:09.268Z
Spring Staked SUI,3.48,28893795,995,165244.0,8295888.845,8295888.845,,5.38,1.79,2025-02-15T10:26:05.408Z
Shardus,0.065446,28767378,996,5.19,439556760.33010703,1000000000.0,,2.19,0.02304276,2025-02-15T02:05:34.543Z
AhaToken,0.00476415,28674365,998,574970.0,6027951926.96106,7730764631.06281,10500000000.0,0.03894145,0.00258023,2025-02-15T10:26:00.566Z
Mochi,2.864e-05,28635688,997,1162296.0,1000000000000.0,1000000000000.0,1000000000000.0,8.118e-05,4.76213e-07,2025-02-15T10:26:09.736Z
DIMO,0.093629,28341358,999,144975.0,302744901.4926637,1000000000.0,1000000000.0,0.785628,0.02171116,2025-02-15T10:26:04.507Z
Orbiter Finance,0.01010536,28277246,1000,36509650.0,2800000000.0,10000000000.0,10000000000.0,0.02100974,0.00920434,2025-02-15T10:26:02.596Z
Clash of Lilliput,0.342546,28112591,1001,5506.97,82074400.0,1000000000.0,1000000000.0,5.12,0.256577,2025-02-15T10:21:34.192Z
RAMP [OLD],0.06795,28039770,1002,83.68,410961782.0,1000000000.0,1000000000.0,1.011,0.01170823,2025-02-15T10:21:34.561Z
Magpie,0.061557,27919748,1003,297391.0,453584752.3065707,1000000000.0,1000000000.0,0.21073,0.00789301,2025-02-15T10:21:40.629Z
cDAI,0.02432393,27870165,1004,5.67,1145746150.041485,1145746150.041485,,0.03159087,0.00728854,2025-02-15T10:20:09.167Z
Plxyer,0.01823674,27839802,1005,13.53,10000000000.0,10000000000.0,10000000000.0,0.02924522,0.01798636,2025-02-14T22:21:20.466Z
Flamingo Finance,0.04304228,27809643,1006,2211358.0,646281953.5291859,646281953.5291859,,1.59,0.03284862,2025-02-15T10:21:37.048Z
VeBetterDAO,0.392279,27702850,1007,352119.0,70653680.0,162822000.0,1000000000.0,0.575997,0.04314196,2025-02-15T10:21:38.396Z
Polymath,0.03081907,27687334,1008,3725.99,898550829.6745886,1000000000.0,,1.59,0.01100606,2025-02-15T10:21:33.744Z
A Hunters Dream,4.3541e-08,27658594,1009,833490.0,636666666666666.0,666666666666666.0,666666666666666.0,1.6415e-07,3.0922e-08,2025-02-15T10:21:41.374Z
district0x,0.0367892,27631718,1010,376861.0,751221716.3251766,1000000000.0,,0.48337,0.00216748,2025-02-15T10:21:35.561Z
MAI,0.99948,27541479,1011,9367.73,27563986.7347571,302391446.6632767,,1.35,0.655895,2025-02-15T10:21:41.652Z
Vertex,0.063932,27526900,1012,1415427.0,430513439.0586291,1000000000.0,1000000000.0,0.520089,0.055069,2025-02-15T10:21:39.284Z
Lingo,0.227884,27391677,1013,492126.0,120012786.448,120012786.448,1000000000.0,0.686987,0.206386,2025-02-15T10:21:41.437Z
Impossible Finance Launchpad,0.03655415,27352407,1016,324447.0,748389159.8654493,1000000000.0,1000000000.0,3.51,0.0088129,2025-02-15T10:21:38.161Z
Metacade,0.01667618,27346945,1014,3966135.0,1639990034.98,2000000000.0,2000000000.0,0.04720046,0.00456835,2025-02-15T10:21:41.079Z
Orion,0.792904,27285333,1015,234698.0,34433074.41431038,100000000.0,100000000.0,29.25,0.46415,2025-02-15T10:21:45.513Z
Jambo,0.209112,27166673,1017,1575744.0,130000000.0,1000000000.0,1000000000.0,0.910484,0.192311,2025-02-15T10:21:38.651Z
Star Atlas DAO,0.096798,27131474,1018,501637.0,280351241.6687,360000000.0,360000000.0,18.55,0.078454,2025-02-15T10:21:36.732Z
Reploy,2.69,27057663,1019,3197673.0,10000000.0,10000000.0,10000000.0,13.63,1.26,2025-02-15T10:21:39.251Z
VeraOne,91.58,27016731,1020,30062.0,295080.93327365,295080.93327365,,97.22,41.55,2025-02-15T10:21:38.603Z
Rich Quack,6.05305e-10,26836057,1021,564201.0,4.435836884102917e+16,1e+17,1e+17,1.5463e-08,1.2017e-11,2025-02-15T10:21:34.946Z
Contentos,0.00517468,26778504,1022,5715050.0,5176458774.0,9900474904.0,9900474904.0,0.084685,0.00394219,2025-02-15T10:21:34.597Z
Voxies,0.120997,26764348,1023,12025796.0,221285764.0489458,300000000.0,300000000.0,4.7,0.082479,2025-02-15T10:21:39.653Z
Advertise Coin,0.59407,26725849,1024,8578.39,45000000.0,50000000.0,,0.900903,0.02220041,2025-02-15T10:21:41.249Z
APX,0.061237,26605989,1025,906210.0,434585698.45472044,4016263469.0,10000000000.0,0.248951,7.159e-05,2025-02-15T10:21:41.574Z
Persistence One,0.121453,26490245,1026,254605.0,219476217.326819,223376634.381471,403308352.0,16.59,0.111812,2025-02-15T10:21:46.781Z
Euro Tether,1.033,26480666,1028,1622083.0,25639699.476313,50000050.0,50000050.0,1.31,0.944541,2025-02-15T10:21:38.780Z
PinkSale,264.97,26476382,1027,105.99,100000.0,100000.0,100000.0,392.65,47.52,2025-02-15T10:21:34.473Z
Miracle Play,0.03128561,26397155,1029,708882.0,844616435.2000808,971899123.1694,3000000000.0,0.136579,0.00798566,2025-02-15T10:21:41.360Z
CHEQD Network,0.02998577,26367280,1030,385565.0,879388745.0,1225727882.0,,0.71551,0.02180162,2025-02-15T10:21:45.893Z
Vita Inu,2.9301e-08,26292792,1031,7073708.0,899596728938778.1,899596728938778.1,899596731856070.1,7.38e-08,3.024e-09,2025-02-15T10:21:39.555Z
cBAT,0.00387787,26252821,1032,0.0,6764862594.107996,6764862594.107996,,0.247355,0.00184538,2025-02-15T10:20:08.088Z
Maya Protocol,0.262447,26243097,1034,1608567.0,100000000.0,100000000.0,100000000.0,1.43,0.00089174,2025-02-15T10:21:33.794Z
MOO DENG,6.238e-05,26229232,1033,5180888.0,420690000000.0,420690000000.0,420690000000.0,0.00042076,5.43e-06,2025-02-15T10:21:41.522Z
Level USD,0.999479,26222486,1035,254329.0,26237588.86848339,26237588.86848339,,1.051,0.974519,2025-02-15T10:21:40.141Z
Lava Network,0.093098,26177679,1036,1485042.0,280975876.0,983763385.0,1000000000.0,0.196251,0.00100095,2025-02-15T10:21:40.560Z
Hatom,0.512067,26000290,1038,58900.0,50778193.0,100000000.0,100000000.0,3.62,0.268048,2025-02-15T10:21:37.918Z
Tranchess,0.129908,25988403,1040,9061507.0,200136118.0,300000000.0,300000000.0,7.91,0.089602,2025-02-15T10:21:38.253Z
ShapeShift FOX,0.04170902,25951122,1041,473544.0,622358923.5571277,1000001337.0,1000001337.0,1.65,0.00084893,2025-02-15T10:21:35.837Z
Realio Network Token,0.40595,25936261,1042,2764256.0,63887199.52607071,63887199.52607071,175000000.0,5.12,0.01342772,2025-02-15T10:21:37.247Z
RIFT AI,0.02592546,25919149,1039,268426.0,999998856.62346,999998856.62346,1000000000.0,0.02960724,0.01818258,2025-02-15T10:21:34.803Z
Ninja Squad Token,3.38,25881418,1044,254315.0,7661274.430000001,7661274.430000001,10000000.0,8.5,0.04543746,2025-02-15T10:21:41.986Z
OHO Blockchain,0.00107175,25871867,1045,137759.0,24141156936.70981,45000000000.0,45000000000.0,0.05413,0.00038451,2025-02-15T10:21:42.237Z
OctaSpace,0.700619,25804919,1046,380402.0,36834134.46771492,36834134.46771492,48000000.0,2.39,0.120508,2025-02-15T10:21:42.418Z
Gelato,0.105008,25748865,1048,104032.0,245310422.3455333,420690000.0,420690000.0,4.21,0.099143,2025-02-15T10:21:37.142Z
Ren,0.0257466,25745729,1049,1407625.0,1000000000.0,1000000000.0,1000000000.0,1.8,0.01548,2025-02-15T10:21:34.870Z
Beta Finance,0.0289482,25741624,1047,5005311.0,889393939.0,1000000000.0,1000000000.0,3.45,0.02258147,2025-02-15T10:21:42.519Z
Alpha Fi,3.04,25725441,1050,655691.0,8477204.2,10000000.0,10000000.0,5.39,0.710976,2025-02-15T10:21:41.547Z
Masa,0.04925523,25725339,1051,2904736.0,522687009.5576804,1570248705.988692,1588866523.0,0.803173,0.03140087,2025-02-15T10:21:41.038Z
Empyreal,85.74,25722471,1043,199419.0,300000.0,300000.0,300000.0,495.39,12.26,2025-02-15T10:21:41.080Z
zkLink,0.116648,25647586,1052,5704696.0,219958333.0,1000000000.0,1000000000.0,0.750654,0.081591,2025-02-15T10:21:40.622Z
BTC Proxy,96999.0,25583495,1053,48.63,263.74958518,263.74958518,,111530.0,2237.63,2025-02-15T07:17:57.132Z
OPENLOOT,0.093641,25556767,1054,15507233.0,273296261.8344,5000000000.0,5000000000.0,0.683764,0.061857,2025-02-15T10:21:42.668Z
Seraph,0.142964,25547662,1055,23691217.0,178780000.0,1000000000.0,1000000000.0,0.69817,0.123256,2025-02-15T10:21:35.637Z
Electronic USD,0.999931,25537212,1056,1238161.0,25540492.55078333,25540492.55078333,,1.13,0.867067,2025-02-15T10:21:36.602Z
OSMI,0.26595,25518962,1057,182266.0,95977319.64946124,197114364.7002176,1000000000.0,0.451797,0.17184,2025-02-15T10:21:45.620Z
Artrade,0.02017621,25451378,1059,951041.0,1261225974.240203,1264126056.585474,1800000000.0,0.101021,0.00103383,2025-02-15T10:21:41.772Z
MakerDAO Arbitrum Bridged DAI (Arbitrum One),0.998224,25333367,1060,2138931.0,25393636.98247605,25393636.98247605,,1.032,0.94619,2025-02-15T10:21:40.715Z
Wen,3.465e-05,25236878,1061,6761482.0,727644945573.1505,727644945573.1505,1000000000000.0,0.00051049,1.56e-05,2025-02-15T10:21:39.993Z
Hive AI,0.02518339,25208471,1062,28773728.0,999865022.600712,999865022.600712,1000000000.0,0.185533,0.02489723,2025-02-15T10:21:38.134Z
MEMDEX100,0.02544975,25192429,1063,3418797.0,989890444.23983,989890444.23983,1000000000.0,0.090549,0.00047063,2025-02-15T10:21:41.002Z
Boson Protocol,0.180705,25177191,1064,746581.0,139517583.1901309,200000000.0,200000000.0,5.36,0.095401,2025-02-15T10:21:46.786Z
STONKS,0.02518096,25174860,1058,6541102.0,1000000000.0,1000000000.0,1000000000.0,0.03352136,0.0228732,2025-02-15T10:21:42.378Z
Biswap,0.050376,25160625,1065,12324312.0,498978200.0,576898100.0,700000000.0,2.1,0.03435994,2025-02-15T10:21:44.782Z
ORA Coin,0.683755,25065945,1066,211371.0,36666666.33,333333333.0,333333333.0,5.37,0.625368,2025-02-15T10:21:45.728Z
Lido Staked SOL,235.41,25003462,1067,109480.0,106156.16,106156.16,,350.04,8.65,2025-02-15T10:21:40.231Z
Coinweb,0.00426538,24972516,1069,139125.0,5856557987.0,7608374522.35741,7680000000.0,0.661693,0.00259109,2025-02-15T10:21:34.552Z
Verasity,0.00255532,24968672,1070,8395126.0,9798580942.0,96798580942.0,96798580942.0,0.086208,0.00199098,2025-02-15T10:21:39.344Z
Rei,0.02495516,24957852,1068,778328.0,1000000000.0,1000000000.0,1000000000.0,0.17897,0.00683797,2025-02-15T10:21:38.698Z
Stonks,42.48,24896172,1037,1755457.0,581917.931111482,581917.931111481,581918.12,370.17,27.96,2025-02-15T10:21:37.002Z
Hanu Yokia,1.66177e-07,24887510,1071,239.14,149803843988394.5,593279012345679.0,1000000000000000.0,1.202e-05,2.7692e-08,2025-02-15T10:21:45.729Z
Skey Network,0.03456124,24844223,1072,479054.0,720381438.0,1000000000.0,1000000000.0,0.55817,0.00802851,2025-02-15T10:21:36.295Z
Aura BAL,6.79,24840040,1073,0.882618,3657383.71429975,3657383.71429975,,21.61,5.01,2025-02-15T10:21:41.960Z
Portal,0.148413,24817744,1074,15911460.0,167134615.0,1000000000.0,1000000000.0,3.36,0.112535,2025-02-15T10:21:34.136Z
Harvest Finance,36.93,24813791,1075,1025278.0,672183.450713,690420.0,690420.0,628.46,20.45,2025-02-15T10:21:37.833Z
Xterio,0.219999,24769266,1076,12455637.0,112500000.0,1000000000.0,1000000000.0,0.5983,0.210059,2025-02-15T10:21:40.462Z
META,1183.14,24716596,1077,33108.0,20885.996418228,20885.996418228,,5086.64,171.05,2025-02-15T10:21:41.071Z
Bad Idea AI,3.8324e-08,24699613,1078,5289587.0,644473209110387.0,829489800581053.0,831041059897327.0,1.93994e-07,8.257e-09,2025-02-15T10:21:42.172Z
Aragon,0.614058,24581857,1079,1505.99,40039312.049009934,43192285.43220194,45094973.0,13.41,0.301888,2025-02-15T10:21:41.659Z
Pundi X [OLD],0.0001035,24475113,1080,492.76,236519288706.32507,258498693019.0699,,0.01446299,2.354e-05,2025-02-15T10:21:33.960Z
Law Blocks,0.113817,24468963,1082,6333.42,214997988.0,1000000000.0,1000000000.0,0.291525,0.01953918,2025-02-15T10:21:40.014Z
WUFFI,2.91078e-07,24405665,1081,53654.0,83875674769944.08,83802817523676.53,100000000000000.0,1.67e-06,1.10449e-07,2025-02-15T10:21:40.675Z
Manta mETH,2722.09,24386141,1083,1.11,8958.635917508378,8958.635917508378,,4140.94,2162.37,2025-02-15T10:21:40.891Z
VON,0.00013403,24324679,1084,277709.0,178027167276.4311,1000000000000.0,1000000000000.0,0.00015821,4.98e-06,2025-02-15T10:21:39.614Z
Forty Two DAO Token,1.5,24282079,1089,53418.0,16100000.0,100000000.0,100000000.0,5.33,0.955875,2025-02-15T10:21:36.862Z
Sendcoin,0.02404111,24233897,1085,1825453.0,999999941.24,999999941.24,,0.162592,0.00137929,2025-02-15T10:21:35.526Z
Gyroscope GYD,1.0,24204636,1086,994898.0,24208960.0029494,24208960.0029494,,1.042,0.961033,2025-02-15T10:21:37.573Z
Tokocrypto,0.321736,24121925,1087,2077277.0,75000000.0,500000000.0,,4.91,0.172672,2025-02-15T10:21:37.998Z
The Root Network,0.01660925,24025949,1088,3172147.0,1446820515.0,12000000000.0,12000000000.0,0.1313,0.01496333,2025-02-15T10:21:37.686Z
Measurable Data,0.03956635,23977435,1090,5239630.0,606319736.1236151,1000000000.0,,0.168053,0.00173261,2025-02-15T10:21:41.070Z
Gnosis xDai Bridged WETH (Gnosis Chain),2699.71,23937972,1091,476699.0,8869.105312375976,8869.105312375976,,4093.75,2174.81,2025-02-15T10:21:37.267Z
WeatherXM,0.398828,23925423,1092,896414.0,60000001.0,100000000.0,100000000.0,2.38,0.301001,2025-02-15T10:21:39.915Z
Major Frog,0.02405551,23860650,1093,1006419.0,989445456.766752,989445456.766752,989445456.77,0.093847,0.00165757,2025-02-15T10:21:40.535Z
Hacken,0.02855384,23790661,1094,239982.0,833577111.0,1000000000.0,1000000000.0,0.465884,0.00234226,2025-02-15T10:21:37.454Z
Pikaboss,5.6357e-08,23708938,1095,62446.0,420690000000000.0,420690000000000.0,420690000000000.0,2.68064e-07,2.89e-09,2025-02-15T10:21:41.912Z
PURPLE PEPE,5.619e-05,23635580,1096,641563.0,420690000000.0,420690000000.0,420690000000.0,0.00031481,2.27e-06,2025-02-15T10:21:34.454Z
MCOIN,0.133363,23629673,1097,622221.0,176999999.421199,500000000.0,500000000.0,2.75,0.117612,2025-02-15T10:21:43.945Z
GamerCoin,0.03795411,23621487,1098,492362.0,622866240.01,808000000.0,880000000.0,0.916669,0.004616,2025-02-15T10:21:37.205Z
Connex,20.48,23546789,1099,148163.0,1150000.0,100000000.0,100000000.0,39.85,0.599067,2025-02-15T10:21:34.522Z
Bityuan,0.03528489,23492413,1100,291663.0,665961360.779359,665961360.779359,,0.765083,0.01348346,2025-02-15T10:21:45.898Z
ECOx,0.05426,23442195,1101,7765.11,432060613.6130826,998366082.182504,1000000000.0,1.98,0.03949712,2025-02-15T10:21:36.302Z
Numbers Protocol,0.03171438,23415848,1102,660207.0,738579396.0,748642380.0,1000000000.0,2.52,0.01709155,2025-02-15T10:21:42.150Z
Klever,0.00258265,23357172,1104,357749.0,9026596500.11252,9026596500.11252,10000000000.0,0.166705,0.00153633,2025-02-15T10:21:39.585Z
Opulous,0.04672135,23349137,1103,400615.0,500000000.0,500000000.0,500000000.0,7.56,0.04028514,2025-02-15T10:21:42.969Z
RabBitcoin,1.84e-06,23347845,1105,526762.0,12687500000000.0,21000000000000.0,21000000000000.0,3.193e-05,1.72e-06,2025-02-15T10:21:34.850Z
T-mac DAO,13.34,23343653,1106,105860.0,1750000.0,1000000000.0,1000000000.0,104.63,0.230915,2025-02-15T10:21:37.714Z
Stride,0.252013,23250428,1107,43825.0,92265746.973318,92265746.973318,100000000.0,7.77,0.178275,2025-02-15T10:21:37.167Z
ZND Token,0.339344,23198409,1108,1240521.0,68349378.4352088,694364850.0,700000000.0,0.8381,0.218497,2025-02-15T10:21:43.956Z
U.CASH,0.00218478,23186882,1109,187.24,10617959105.58665,21000000000.0,,0.18722,3.28991e-07,2025-02-15T10:21:38.194Z
LUKSO [OLD],1.48,23100261,1110,30804.0,15575915.708856644,99999999.63875192,99999999.63875192,41.18,0.203056,2025-02-15T10:21:40.587Z
ArbDoge AI,1.22434e-10,23015807,1111,5041334.0,1.87998180877789e+17,1.87998183142261e+17,2.1e+17,1.118e-09,4.7681e-11,2025-02-15T10:21:42.202Z
Kishu Inu,2.377e-10,22965932,1112,641745.0,9.665874044992338e+16,9.665874044992338e+16,1e+17,1.7547e-08,6.8855e-11,2025-02-15T10:21:39.557Z
Frontier,0.255121,22946124,1113,3296.24,89999999.99994336,89999999.99994336,89999999.99994336,6.71,0.12546,2025-02-15T10:21:37.664Z
AscendEx,0.03091524,22892379,1114,1273239.0,742983477.862,742983477.862,,3.26,0.01194798,2025-02-15T10:21:41.920Z
XEN Crypto,1.31469e-07,22888252,1115,2027098.0,174050446054390.8,174050446054390.8,,0.00036977,6.156e-08,2025-02-15T10:21:46.760Z
BOBO Coin,3.4279e-07,22761490,1117,1975809.0,66400699866474.0,66484444313649.0,69000000000000.0,3.43e-06,7.892e-09,2025-02-15T10:21:46.557Z
Fracton Protocol,0.259982,22739817,1116,2279222.0,87472220.0,100000000.0,100000000.0,7.0,0.256598,2025-02-15T10:21:37.219Z
Aventis AI,0.058493,22703756,1118,75291.0,388216000.0,1000000000.0,1000000000.0,0.250084,0.00510933,2025-02-15T10:21:41.861Z
Spectre AI,2.28,22696103,1119,108538.0,9993171.20242279,9993171.20242279,10000000.0,7.09,0.02880028,2025-02-15T10:21:36.610Z
pippin,0.02258325,22560819,1120,14518465.0,999948217.834784,999948217.834784,1000000000.0,0.318612,0.0055459,2025-02-15T10:21:33.501Z
Bluefin,0.142437,22507568,1121,4151301.0,158095833.0,1000000000.0,1000000000.0,0.856668,0.106886,2025-02-15T10:21:46.312Z
Alpaca Finance,0.148492,22385906,1122,11957846.0,150796961.6027096,150796961.6027096,188000000.0,8.78,0.079028,2025-02-15T10:21:41.900Z
COMBO,0.31464,22368617,1123,7868607.0,71051748.0,100000000.0,100000000.0,5.44,0.00018783,2025-02-15T10:21:34.465Z
Sovrun,0.02669101,22322892,1124,8636795.0,832500000.0,896771567.0,1000000000.0,0.262399,0.01859704,2025-02-15T10:21:36.588Z
Everclear,0.03829761,22306092,1125,14203891.0,580390218.7475392,1000000000.0,1000000000.0,0.083367,0.03653703,2025-02-15T10:21:36.703Z
Stake DAO,0.365179,22276871,1126,13892.18,60983617.915236734,65943017.90376983,100000000.0,17.38,0.01522558,2025-02-15T10:21:36.732Z
Torus,0.337804,22263074,1127,10174.49,65940124.6823028,144000000.0,144000000.0,1.056,0.203562,2025-02-15T10:21:41.464Z
Aventus,2.36,22261818,1128,440850.0,9440020.58704024,10600000.0,,10.25,0.0,2025-02-15T10:21:41.974Z
Tokemak,0.27766,22231427,1129,227406.0,80089763.96986334,100000000.0,100000000.0,79.02,0.267197,2025-02-15T10:21:37.886Z
CEEK Smart VR,0.02349126,22216956,1130,1226401.0,944999882.0,1000000000.0,,1.19,0.00074146,2025-02-15T10:21:33.993Z
Agoric,0.03312951,22214370,1131,86211.0,670574118.754596,1073101297.28249,,0.751177,0.03032872,2025-02-15T10:21:41.450Z
AMO Coin,0.00104364,22129852,1132,1370754.0,21200000000.0,21200000000.0,21200000000.0,0.01594326,9.585e-05,2025-02-15T10:21:41.636Z
UniLayer,0.800401,22119026,1133,3013181.0,27618740.517055742,40000000.0,40000000.0,3.96,0.02509482,2025-02-15T10:21:38.145Z
Everscale,0.01111365,22063971,1134,160864.0,1985523041.0,2117508291.0,,2.56,0.01093372,2025-02-15T10:21:36.866Z
OmniFlix Network,0.051056,22061999,1135,27766.0,432218690.7231,502005191.707943,1000000000.0,0.493157,0.02048608,2025-02-15T10:21:43.118Z
GammaSwap,0.10494,21975833,1136,72136.0,209378778.5397264,1600000000.0,1600000000.0,0.365599,0.00975745,2025-02-15T10:21:37.415Z
TruFin Staked NEAR,3.61,21930371,1137,1935.16,6077298.313645999,6077298.313645999,,3.74,3.16,2025-02-15T10:21:38.391Z
Frok.ai,0.050808,21923952,1138,9387.25,420690000.0,420690000.0,420690000.0,0.250266,0.01712246,2025-02-15T10:21:37.074Z
Bridged USD Coin (Linea),1.0,21915878,1139,8832049.0,21915832.606389,21915832.606389,,1.13,0.920892,2025-02-15T10:21:33.865Z
SUKU,0.054228,21863815,1140,194235.0,403053695.5,1500000000.0,1500000000.0,1.51,0.03358546,2025-02-15T10:21:37.774Z
Adshares,0.565363,21847076,1141,63823.0,38738723.908857,38758203.0,,5.72,0.0102872,2025-02-15T10:21:41.146Z
Mango,0.01951026,21793766,1142,4714.16,1117467702.749834,5000000000.0,5000000000.0,0.498845,0.00936853,2025-02-15T10:21:40.880Z
Sidus,0.00195453,21618500,1143,911767.0,11069086922.918486,18917222681.29916,30000000000.0,0.193233,0.00070703,2025-02-15T10:21:36.257Z
Daddy Tate,0.03602497,21543076,1144,1873259.0,599644732.878928,599644684.4851,999999999.0,0.288644,0.02993939,2025-02-15T10:21:42.017Z
Onyx Arches,0.05311,21536493,1145,0.990228,404190219.3483958,999988783.2756599,999988858.4,0.074821,0.05248,2025-02-15T10:21:42.288Z
AdEx,0.149524,21533433,1146,4930944.0,144046026.928,150000000.0,150000000.0,3.49,0.03511504,2025-02-15T10:21:41.329Z
Phoenix Global [OLD],0.0063529,21515151,1147,1.27,3386665894.2539186,3391976087.02437,3391976087.02437,0.927789,0.00113454,2025-02-12T23:00:03.320Z
MetaMUI,0.0320918,21424296,1148,455694.0,668068907.718191,800000000.0,800000000.0,0.935688,0.02861165,2025-02-15T10:21:41.265Z
Lemonschain,0.168411,21372805,1149,267854.0,127000000.0,127000000.0,127000000.0,0.365327,0.01629736,2025-02-15T10:21:40.135Z
Carrot,106.63,21262429,1150,49430.0,199453.715843061,199453.715843061,,108.1,101.03,2025-02-15T10:21:33.610Z
Quickswap [OLD],28.35,21243460,1151,46233.0,750574.2144236814,1000000.0,1000000.0,1590.57,0.02548392,2025-02-15T10:21:34.852Z
OORT,0.06455,21198006,1152,385138.0,328512149.3851408,1998899999.89,2000000000.0,1.18,0.05565,2025-02-15T10:21:42.778Z
PIXL,0.04216329,21081634,1153,32364.0,500000000.0,500000000.0,500000000.0,0.164294,0.01738658,2025-02-15T10:21:35.211Z
Inverse Finance,35.53,21062800,1154,111071.0,593054.9870344423,615000.0,,2075.09,20.72,2025-02-15T10:21:38.340Z
Linear,0.00272647,21000619,1155,6634439.0,7698402048.307899,10000000000.0,10000000000.0,0.298899,0.00200804,2025-02-15T10:21:40.246Z
AnonFi,0.01904732,20952047,1156,24745.0,1100000000.0,1300000000.0,1300000000.0,0.01930213,0.00025887,2024-12-18T00:22:01.169Z
BOB,0.990899,20842023,1158,65632.0,21000000.0,21000000.0,21000000.0,2.03,0.103315,2025-02-15T10:21:46.382Z
Asymmetry Finance,2.38,20836238,1157,145226.0,8749617.295211382,51000000.00000001,51000000.0,4.36,0.339337,2025-02-15T10:21:42.021Z
ONFA,0.172186,20764603,1159,545325.0,120624320.2609896,288882010.2609896,300000000.0,2.48,0.144139,2025-02-15T10:21:43.265Z
GXChain,0.275517,20659957,1160,1598.62,75000000.0,100000000.0,,10.61,0.189778,2025-02-15T10:21:37.436Z
Dione,0.00203139,20607980,1161,134762.0,10145441353.45275,13433600526.0,,0.01912804,2.587e-05,2025-02-15T10:21:37.384Z
Streamr,0.02683482,20579256,1162,4516434.0,767121867.0,1000541714.0,2000000000.0,0.209972,0.02014685,2025-02-15T10:21:36.862Z
Cryptex Finance,2.76,20559037,1163,464167.0,7433896.951174722,10000000.0,10000000.0,44.13,0.790108,2025-02-15T10:21:34.728Z
American Coin,1.76e-06,20506263,1164,2768254.0,11627315258999.02,11627315258999.02,11627515010178.62,2.545e-05,2.26706e-07,2025-02-15T10:21:42.039Z
FIO Protocol,0.02548932,20487839,1165,4884008.0,803917148.2148392,1000000000.0,,0.560433,0.01619091,2025-02-15T10:21:36.775Z
TriasLab,2.05,20469576,1166,303710.0,10000000.0,10000000.0,10000000.0,31.7,0.637551,2025-02-15T10:21:37.951Z
MAGA,0.453957,20436919,1171,692012.0,45019550.127976805,45019550.127976805,47000000.0,17.51,0.01135796,2025-02-15T10:21:40.540Z
Planet IX,0.157116,20424928,1170,32790.0,130243538.6046951,153258226.0,,4.68,0.07154,2025-02-15T10:21:38.258Z
Self Chain,0.210301,20407633,1168,31041019.0,97000000.0,336000000.0,360000000.0,0.823368,0.158763,2025-02-15T10:21:37.193Z
Wagmi,0.01196142,20401396,1167,725234.0,1705599766.839604,4963197773.322901,,0.055698,0.00425143,2025-02-15T10:21:39.774Z
Neiro on ETH,0.02038373,20382024,1169,6024663.0,1000000000.0,1000000000.0,1000000000.0,0.293273,0.01421336,2025-02-15T10:21:42.044Z
Stride Staked Atom,7.44,20350752,1172,593710.0,2734927.640907,2734927.640907,,18.7,0.02064083,2025-02-15T10:21:37.130Z
Beefy,254.42,20346495,1173,655510.0,80000.0,80000.0,80000.0,4116.95,3.28,2025-02-15T10:21:42.203Z
Ribbon Finance,0.208241,20319701,1174,60807.0,97604307.81061523,1000000000.0,1000000000.0,5.54,0.12452,2025-02-15T10:21:34.753Z
LooksRare,0.02041164,20270433,1175,3069452.0,993556601.8586097,993556601.8586097,1000000000.0,7.1,0.01739025,2025-02-15T10:21:40.535Z
Quickswap,0.02697918,20227363,1176,6507618.0,749857390.460986,998401166.449149,1000000000.0,0.229794,0.00662336,2025-02-15T10:21:34.418Z
CreatorBid,0.075338,20220727,1179,791810.0,268466796.9,999979940.9,1000000000.0,0.265326,0.0383969,2025-02-15T10:21:35.242Z
Seamless Protocol,0.622906,20216990,1180,269270.0,32471804.8537926,100000000.0,100000000.0,14.35,0.564126,2025-02-15T10:21:35.498Z
michi,0.03629552,20168223,1181,11858946.0,555770695.0,555770695.0,1000000000.0,0.587659,0.02630277,2025-02-15T10:21:41.252Z
Luna by Virtuals,0.02015313,20166283,1177,1825658.0,1000000000.0,1000000000.0,1000000000.0,0.251805,0.00861263,2025-02-15T10:21:40.566Z
